Provinsi,Tahun,Laju_PDRB,TPT,GK_Urban,GK_Rural,Klaster_Pulau
KALIMANTAN TENGAH,2023,4.14,3.9699999999999998,570559.0,613490.0,Kalimantan
KALIMANTAN TENGAH,2024,4.46,3.84,600297.0,640651.0,Kalimantan
KALIMANTAN TENGAH,2025,4.8,3.72,634029.0,667001.0,Kalimantan
KALIMANTAN TIMUR,2021,2.55,6.82,695824.0,673636.0,Kalimantan
KALIMANTAN TIMUR,2022,4.48,6.24,732195.0,718550.0,Kalimantan
KALIMANTAN TIMUR,2023,6.22,5.84,796193.0,776285.0,Kalimantan
KALIMANTAN TIMUR,2024,6.17,5.445,838902.0,822269.0,Kalimantan
KALIMANTAN TIMUR,2025,4.53,5.255,876210.0,843168.0,Kalimantan
KALIMANTAN UTARA,2021,3.99,4.625,739267.0,665963.0,Kalimantan
KALIMANTAN UTARA,2022,5.32,4.475,804517.0,719982.0,Kalimantan
KALIMANTAN UTARA,2023,4.96,4.055,851133.0,765597.0,Kalimantan
KALIMANTAN UTARA,2024,4.73,3.955,885655.0,799327.0,Kalimantan
KALIMANTAN UTARA,2025,4.56,3.875,921520.0,829827.0,Kalimantan
KEP. BANGKA BELITUNG,2021,5.05,5.035,737934.0,768414.0,Sumatera
KEP. BANGKA BELITUNG,2022,4.4,4.475,784988.0,820543.0,Sumatera
KEP. BANGKA BELITUNG,2023,4.38,4.225,859301.0,893380.0,Sumatera
KEP. BANGKA BELITUNG,2024,0.77,4.24,892169.0,930378.0,Sumatera
KEP. BANGKA BELITUNG,2025,4.09,4.3100000000000005,926156.0,995150.0,Sumatera
KEP. RIAU,2021,3.43,10.015,644601.0,614746.0,Sumatera
KEP. RIAU,2022,5.06,8.125,687245.0,659308.0,Sumatera
KEP. RIAU,2023,5.16,7.205,747258.0,708168.0,Sumatera
KEP. RIAU,2024,5.02,6.665,791352.0,749604.0,Sumatera
KEP. RIAU,2025,6.94,6.67,835161.0,797450.0,Sumatera
LAMPUNG,2021,2.77,4.615,516003.0,451211.0,Sumatera
LAMPUNG,2022,4.28,4.414999999999999,560467.0,492623.0,Sumatera
LAMPUNG,2023,4.55,4.205,610614.0,534575.0,Sumatera
LAMPUNG,2024,4.57,4.155,640908.0,560363.0,Sumatera
LAMPUNG,2025,5.28,4.140000000000001,659660.0,588958.0,Sumatera
MALUKU,2021,3.63,6.83,596564.0,580646.0,Maluku-Papua
MALUKU,2022,5.31,6.66,639349.0,625202.0,Maluku-Papua
MALUKU,2023,5.21,6.195,694588.0,676005.0,Maluku-Papua
MALUKU,2024,5.34,6.035,724132.0,705301.0,Maluku-Papua
MALUKU,2025,4.56,6.109999999999999,781403.0,738005.0,Maluku-Papua
MALUKU UTARA,2021,16.79,4.885,516450.0,478452.0,Maluku-Papua
MALUKU UTARA,2022,22.94,4.48,541972.0,503388.0,Maluku-Papua
MALUKU UTARA,2023,21.57,4.455,599137.0,550988.0,Maluku-Papua
MALUKU UTARA,2024,13.92,4.095000000000001,642484.0,588740.0,Maluku-Papua
MALUKU UTARA,2025,34.17,4.404999999999999,711096.0,642614.0,Maluku-Papua
NUSA TENGGARA BARAT,2021,2.3,3.49,434451.0,412646.0,Bali-Nusa Tenggara
NUSA TENGGARA BARAT,2022,6.95,3.4050000000000002,470431.0,448965.0,Bali-Nusa Tenggara
NUSA TENGGARA BARAT,2023,1.8,3.2649999999999997,511463.0,485682.0,Bali-Nusa Tenggara
NUSA TENGGARA BARAT,2024,5.3,3.0149999999999997,547412.0,520679.0,Bali-Nusa Tenggara
NUSA TENGGARA BARAT,2025,3.22,3.14,574051.0,537105.0,Bali-Nusa Tenggara
NUSA TENGGARA TIMUR,2021,2.52,3.575,508584.0,385970.0,Bali-Nusa Tenggara
NUSA TENGGARA TIMUR,2022,3.08,3.42,558741.0,429079.0,Bali-Nusa Tenggara
NUSA TENGGARA TIMUR,2023,3.49,3.12,614436.0,471502.0,Bali-Nusa Tenggara
NUSA TENGGARA TIMUR,2024,3.87,3.0949999999999998,638261.0,488995.0,Bali-Nusa Tenggara
NUSA TENGGARA TIMUR,2025,5.14,3.27,666633.0,508645.0,Bali-Nusa Tenggara
PAPUA,2021,15.16,3.55,634703.0,573510.0,Maluku-Papua
PAPUA,2022,8.97,3.215,676775.0,608205.0,Maluku-Papua
PAPUA,2023,4.22,3.08,743289.0,661946.0,Maluku-Papua
PAPUA,2024,4.11,6.145,749674.0,570295.0,Maluku-Papua
PAPUA,2025,3.97,6.9399999999999995,797056.0,599432.0,Maluku-Papua
PAPUA BARAT,2021,-0.51,6.01,654878.0,613644.0,Maluku-Papua
PAPUA BARAT,2022,2.03,5.575,700168.0,641565.0,Maluku-Papua
PAPUA BARAT,2023,5.18,5.455,765617.0,702530.0,Maluku-Papua
PAPUA BARAT,2024,20.8,4.22,922150.0,734247.0,Maluku-Papua
PAPUA BARAT,2025,6.46,4.38,959457.0,769107.0,Maluku-Papua
PAPUA BARAT DAYA,2021,-0.51,6.01,654878.0,613644.0,Maluku-Papua
PAPUA BARAT DAYA,2022,2.03,5.575,700168.0,641565.0,Maluku-Papua
PAPUA BARAT DAYA,2023,1.82,5.455,765617.0,702530.0,Maluku-Papua
PAPUA BARAT DAYA,2024,3.6,6.25,765253.0,747651.0,Maluku-Papua
PAPUA BARAT DAYA,2025,4.03,6.73,835719.0,782579.0,Maluku-Papua
PAPUA PEGUNUNGAN,2021,15.16,3.55,634703.0,573510.0,Maluku-Papua
PAPUA PEGUNUNGAN,2022,8.97,3.215,676775.0,608205.0,Maluku-Papua
PAPUA PEGUNUNGAN,2023,4.78,3.08,743289.0,661946.0,Maluku-Papua
PAPUA PEGUNUNGAN,2024,4.75,1.25,1283920.0,992374.0,Maluku-Papua
PAPUA PEGUNUNGAN,2025,3.75,1.68,1454372.0,1115070.0,Maluku-Papua
PAPUA SELATAN,2021,15.16,3.55,634703.0,573510.0,Maluku-Papua
PAPUA SELATAN,2022,8.97,3.215,676775.0,608205.0,Maluku-Papua
PAPUA SELATAN,2023,4.23,3.08,743289.0,661946.0,Maluku-Papua
